"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
4,4,4,6,0,1,1,0,0.5,0.5625,0.484375,0.515625,"; ; 2.68554688 % of all edit distance cells or 55 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,2,1,0,0.75,0.625,0.421875,0.5,"; ; 2.78320312 % of all edit distance cells or 57 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,3,1,0,0.6875,1,0.421875,0.453125,"; ; 3.17382812 % of all edit distance cells or 65 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,4,1,0,0.6875,1,0.453125,0.484375,"; ; 2.44140625 % of all edit distance cells or 50 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,5,1,0,1,0.625,0.484375,0.5,"; ; 2.63671875 % of all edit distance cells or 54 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,6,1,0,1,0.625,0.5,0.484375,"; ; 2.88085938 % of all edit distance cells or 59 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,7,1,0,0.6875,1,0.453125,0.453125,"; ; 2.5390625 % of all edit distance cells or 52 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,8,1,0,0.6875,1,0.421875,0.40625,"; ; 2.39257812 % of all edit distance cells or 49 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,9,1,0,1,0.625,0.4375,0.484375,"; ; 2.19726562 % of all edit distance cells or 45 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,6,0,10,1,0,1,0.6875,0.46875,0.40625,"; ; 2.49023438 % of all edit distance cells or 51 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
