"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,0,6,1,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,2,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,3,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,4,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,5,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,6,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,7,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,8,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,9,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,10,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,11,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,12,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,13,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,14,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,15,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,16,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,17,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,18,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,19,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,20,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,21,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,22,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,23,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,24,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,25,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,26,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,27,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,28,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,29,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,30,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,31,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,32,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,33,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,34,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,35,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,36,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,37,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,38,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
