"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,6,0,1,1,0,0.625,0.703125,0.298828125,0.294921875,"; ; 1.37023926 % of all edit distance cells or 1796 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,2,1,0,0.734375,0.640625,0.29296875,0.296875,"; ; 1.36184692 % of all edit distance cells or 1785 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,3,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,4,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,5,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,6,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,7,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,8,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,9,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,10,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,11,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,12,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,13,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,14,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
