"n_groups","group_information_proportion","accuracy_method","eff_delta","eff_CI_upper","eff_CI_lower","eff_magnitude"
2,0,"SPCC",-1,-0.999998908258511,-1,"large"
2,0,"edit",-1,-0.999998908258511,-1,"large"
2,0.333333333333333,"SPCC",-1,-0.999998908258511,-1,"large"
2,0.333333333333333,"edit",0,0,0,"negligible"
2,0.666666666666667,"SPCC",0.01,0.0161732095621723,0.00382602809714587,"negligible"
2,0.666666666666667,"edit",1,1,0.999998908258511,"large"
2,1,"SPCC",1,1,0.999998908258511,"large"
2,1,"edit",1,1,0.999998908258511,"large"
4,0,"SPCC",-1,-0.999998908258511,-1,"large"
4,0,"edit",-1,-0.999998908258511,-1,"large"
4,0.333333333333333,"SPCC",-0.9852,-0.969470379755617,-0.992854730874684,"large"
4,0.333333333333333,"edit",-0.99,-0.664897531957771,-0.999749112373487,"large"
4,0.666666666666667,"SPCC",-0.485,-0.439392324822364,-0.52811370458574,"large"
4,0.666666666666667,"edit",1,1,0.999998908258511,"large"
4,1,"SPCC",1,1,0.999998908258511,"large"
4,1,"edit",1,1,0.999998908258511,"large"
6,0,"SPCC",-1,-0.999998908258511,-1,"large"
6,0,"edit",-1,-0.999998908258511,-1,"large"
6,0.333333333333333,"SPCC",-1,-0.999998908258511,-1,"large"
6,0.333333333333333,"edit",-1,-0.999998908258511,-1,"large"
6,0.666666666666667,"SPCC",0.999784,0.99990983636306,0.9994825862751,"large"
6,0.666666666666667,"edit",0.988324,0.994647793634113,0.974623510819213,"large"
6,1,"SPCC",1,1,0.999998908258511,"large"
6,1,"edit",1,1,0.999998908258511,"large"
8,0,"SPCC",-1,-0.999998908258511,-1,"large"
8,0,"edit",-1,-0.999998908258511,-1,"large"
8,0.333333333333333,"SPCC",-1,-0.999998908258511,-1,"large"
8,0.333333333333333,"edit",-0.999297,0.450215023220966,-0.999999906255343,"large"
8,0.666666666666667,"SPCC",0.831962,0.854481676007348,0.806321263758309,"large"
8,0.666666666666667,"edit",0.998028,0.999472310454753,0.992645087029038,"large"
8,1,"SPCC",1,1,0.999998908258511,"large"
8,1,"edit",1,1,0.999998908258511,"large"
